fecha,temporada,semana,parcela_nombre,cultivo,variedad,n_remito,n_ciu,destino,comprador,cuadrilla,acarreo,cantidad_envases,peso_unitario_kg,bruto_kg,tara_kg,kg_total,observaciones
2025-02-05,2024,6,FLAME,vid,FLAME,71682022,0,PASAS,PASERO,DIAZ M,DIAZ M,20.0,391,13080.0,5260.0,7820,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-05,2024,6,FLAME,vid,FLAME,71682024,0,PASAS,PASERO,DIAZ M,,20.0,390.0,13640.0,5840.0,7800.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-06,2024,6,11,vid,FLAME,71682027,0,PASAS,PASERO,FINCA,,1444.0,16.0,,,23104.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=11
2025-02-06,2024,6,FLAME,vid,FLAME,71682029,0,PASAS,PASERO,LUIS F,ZARATE D,22.0,324.5454545,14680.0,7540.0,7140,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-06,2024,6,6,vid,RED GLOBE,71682030,0,MI,PUTRUELE,CAMARGO,,816.0,9.0,,,7344.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-06,2024,6,FLAME,vid,FLAME,71682026,0,PASAS,PASERO,DIAZ M,,20.0,399,13240.0,5260.0,7980,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-06,2024,6,FLAME,vid,FLAME,71682028,0,PASAS,PASERO,DIAZ M,,20.0,398.0,13800.0,5840.0,7960.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-07,2024,6,FLAME,vid,FLAME,71682031,0,PASAS,PASERO,LUIS F,ZARATE D,19.0,324.5,,,6165.5,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-07,2024,6,11,vid,FLAME,71682033,0,PASAS,PASERO,FINCA,FINCA,1001.0,16.0,,,16016,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=11
2025-02-07,2024,6,FLAME,vid,FLAME,71682035,0,PASAS,PASERO,LUIS F,ZARATE D,22.0,359.0909091,15440.0,7540.0,7900,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
