fecha,tipo,clasificacion,monto,moneda,origen,finca,forma_pago,descripcion
2026-01-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2026-02-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2026-03-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-05-15,insumos_varios,rep_repuestos_infraestructura,500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-06-15,insumos_varios,rep_repuestos_infraestructura,500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-07-15,insumos_varios,rep_repuestos_infraestructura,500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-08-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-09-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-10-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-11-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-12-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2026-01-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2026-02-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2026-03-15,insumos_varios,rep_repuestos_infraestructura,700000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REPAR CONST
2025-05-15,financiero,creditos_bancarios,2123966.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-06-15,financiero,creditos_bancarios,1996211.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-07-15,financiero,creditos_bancarios,1942641.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-08-15,financiero,creditos_bancarios,6642509.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-09-15,financiero,creditos_bancarios,7137597.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-10-15,financiero,creditos_bancarios,6899479.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-11-15,financiero,creditos_bancarios,6580075.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-12-15,financiero,creditos_bancarios,6304662.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2026-01-15,financiero,creditos_bancarios,6220000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2026-02-15,financiero,creditos_bancarios,6286000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2026-03-15,financiero,creditos_bancarios,6910000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2026-04-15,financiero,creditos_bancarios,1410000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · CREDITOS
2025-05-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2025-06-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2025-07-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2025-08-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2025-09-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
